OGIds	Mz,Pn,Ab,Nb,On,Ga
OG2_1	NULL,NULL,ab.gene.s102.72,NULL,on.gene.LG13.766,ENSGACG00000006311
OG3_1	mz.gene.s81.88,pn.gene.s4.23,ab.gene.s268.38,NULL,on.gene.LG8-24.289,ENSGACG00000008627
OG4_1	mz.gene.s18.159,pn.gene.s11.44,ab.gene.s86.77,NULL,on.gene.LG5.750,ENSGACG00000001478
OG5_1	mz.gene.s143.10,pn.gene.s137.9,ab.gene.s57.59,nb.gene.s83.8,on.gene.LG11.969,ENSGACG00000013021
OG6_1	mz.gene.s3.200,pn.gene.s9.29,NULL,nb.gene.s56.31,on.gene.LG19.222,ENSGACG00000010029
OG7_1	mz.gene.s35.13,pn.gene.s49.76,ab.gene.s161.12,NULL,on.gene.UNK32.8,ENSGACG00000007918
OG8_1	mz.gene.s28.18,pn.gene.s257.14,ab.gene.s275.18,nb.gene.s55.19,NULL,ENSGACG00000013741
OG9_1	mz.gene.s4.311,pn.gene.s83.62,ab.gene.s174.43,nb.gene.s79.61,on.gene.LG11.153,ENSGACG00000008576
OG10_1	mz.gene.s64.13,pn.gene.s143.33,ab.gene.s443.9,nb.gene.s41.43,NULL,ENSGACG00000007300
OG11_1	NULL,NULL,NULL,NULL,on.gene.LG15.744,ENSGACG00000004319
OG12_1	NULL,pn.gene.s22.118,ab.gene.s31.80,nb.gene.s17.257,NULL,ENSGACG00000003901
OG13_1	mz.gene.s58.24,pn.gene.s104.3,NULL,nb.gene.s84.18,on.gene.UNK69.17,NULL
OG14_1	mz.gene.s18.210,NULL,ab.gene.s1147.2,nb.gene.s4.170,on.gene.LG5.662,ENSGACG00000003065
OG15_1	mz.gene.s202.9,NULL,ab.gene.s9.28,nb.gene.s6.414,on.gene.LG5.204,NULL
OG16_1	mz.gene.s181.7,NULL,ab.gene.s240.5,nb.gene.s8.89,on.gene.UNK27.25,NULL
OG17_1	mz.gene.s2.38,pn.gene.s165.5,ab.gene.s8.67,nb.gene.s0.257,on.gene.LG1.402,ENSGACG00000016035
OG18_1	mz.gene.s18.80,pn.gene.s11.111,ab.gene.s86.2,nb.gene.s4.297,on.gene.LG5.671,NULL
OG19_1	mz.gene.s44.18,pn.gene.s135.36,NULL,NULL,on.gene.LG13.480,ENSGACG00000007441
OG20_1	mz.gene.s161.19,pn.gene.s175.12,ab.gene.s155.19,nb.gene.s147.19,on.gene.LG16-21.55,ENSGACG00000008839
OG21_1	mz.gene.s49.57,pn.gene.s45.92,ab.gene.s54.85,nb.gene.s17.83,on.gene.LG23.303,ENSGACG00000014128
OG22_1	mz.gene.s122.16,NULL,ab.gene.s99.34,NULL,on.gene.LG12.806,NULL
OG23_1	mz.gene.s26.146,pn.gene.s148.41,ab.gene.s5.43,nb.gene.s5.290,on.gene.LG13.525,ENSGACG00000008040
OG24_1	mz.gene.s43.11,NULL,NULL,NULL,on.gene.LG12.915,ENSGACG00000014514
OG25_1	mz.gene.s40.82,pn.gene.s55.82,ab.gene.s37.62,nb.gene.s71.50,on.gene.LG23.485,ENSGACG00000011472
OG26_1	NULL,pn.gene.s117.37,ab.gene.s1525.1,NULL,on.gene.UNK13.6,ENSGACG00000014274
OG27_1	mz.gene.s17.167,NULL,NULL,nb.gene.s1.248,on.gene.LG17.430,NULL
OG28_1	mz.gene.s10.90,pn.gene.s109.3,ab.gene.s395.21,nb.gene.s194.28,on.gene.LG5.490,NULL
OG29_1	mz.gene.s77.50,pn.gene.s214.11,ab.gene.s484.11,nb.gene.s3.56,on.gene.LG7.938,ENSGACG00000018458
OG30_1	mz.gene.s3.309,pn.gene.s9.136,ab.gene.s336.3,nb.gene.s9.316,on.gene.LG19.123,ENSGACG00000009050
OG31_1	mz.gene.s16.128,NULL,NULL,nb.gene.s12.104,NULL,NULL
OG32_1	mz.gene.s17.82,pn.gene.s51.53,ab.gene.s115.12,nb.gene.s1.167,on.gene.LG17.524,ENSGACG00000019801
OG33_1	NULL,NULL,ab.gene.s4.159,nb.gene.s27.90,on.gene.LG8-24.712,ENSGACG00000014409
OG34_1	mz.gene.s43.31,pn.gene.s37.28,ab.gene.s45.39,NULL,on.gene.LG12.894,ENSGACG00000014309
OG35_1	mz.gene.s38.68,NULL,ab.gene.s696.3,nb.gene.s210.15,on.gene.LG13.185,ENSGACG00000003979
OG36_1	mz.gene.s32.38,pn.gene.s34.106,ab.gene.s98.69,nb.gene.s15.65,on.gene.LG7.1069,ENSGACG00000004903
OG37_1	mz.gene.s34.63,pn.gene.s19.34,ab.gene.s29.5,nb.gene.s58.17,on.gene.LG2.108,ENSGACG00000016634
OG38_1	NULL,pn.gene.s25.61,ab.gene.s77.61,NULL,on.gene.UNK3.64,ENSGACG00000020444
OG39_1	mz.gene.s223.5,pn.gene.s373.6,ab.gene.s448.6,nb.gene.s32.111,NULL,NULL
OG40_1	NULL,pn.gene.s627.5,ab.gene.s222.15,nb.gene.s25.21,on.gene.UNK2.74,ENSGACG00000013712
OG41_1	NULL,pn.gene.s88.10,ab.gene.s95.25,nb.gene.s130.21,on.gene.LG7.153,ENSGACG00000002445
OG42_1	mz.gene.s10.328,pn.gene.s177.49,ab.gene.s9.64,nb.gene.s6.383,on.gene.LG5.240,NULL
OG43_1	mz.gene.s265.8,pn.gene.s76.37,ab.gene.s241.3,nb.gene.s227.12,on.gene.LG18.8,NULL
OG44_1	mz.gene.s42.14,pn.gene.s8.68,ab.gene.s22.60,nb.gene.s13.283,on.gene.LG16-21.486,ENSGACG00000005860
OG45_1	mz.gene.s61.128,pn.gene.s157.6,ab.gene.s335.32,NULL,on.gene.LG4.549,ENSGACG00000010133
OG46_1	mz.gene.s15.150,pn.gene.s95.18,ab.gene.s109.23,nb.gene.s4.29,on.gene.LG5.904,ENSGACG00000006233
OG47_1	mz.gene.s10.291,pn.gene.s41.25,ab.gene.s24.91,nb.gene.s6.343,on.gene.LG5.279,ENSGACG00000009034
OG48_1	NULL,NULL,NULL,NULL,NULL,ENSGACG00000006767
OG49_1	mz.gene.s149.18,pn.gene.s174.24,ab.gene.s435.6,nb.gene.s60.64,on.gene.LG16-21.190,ENSGACG00000000255
OG50_1	NULL,pn.gene.s0.165,NULL,nb.gene.s2.339,on.gene.LG2.572,NULL
OG51_1	NULL,pn.gene.s40.24,NULL,nb.gene.s24.47,NULL,NULL
OG52_1	NULL,NULL,NULL,NULL,NULL,ENSGACG00000015522
OG53_1	mz.gene.s147.40,NULL,ab.gene.s439.2,nb.gene.s214.12,on.gene.LG17.104,ENSGACG00000007207
OG54_1	mz.gene.s39.77,pn.gene.s28.70,ab.gene.s108.23,nb.gene.s9.115,on.gene.LG19.723,NULL
OG55_1	mz.gene.s128.18,NULL,ab.gene.s440.4,NULL,NULL,NULL
OG56_1	mz.gene.s7.180,pn.gene.s10.40,ab.gene.s147.9,NULL,on.gene.LG1.173,ENSGACG00000015331
OG57_1	mz.gene.s4.364,pn.gene.s83.14,ab.gene.s368.17,NULL,on.gene.LG11.213,ENSGACG00000007736
OG58_1	mz.gene.s156.19,pn.gene.s176.11,ab.gene.s165.20,nb.gene.s405.2,on.gene.UNK11.32,ENSGACG00000015810
OG59_1	NULL,pn.gene.s40.40,NULL,nb.gene.s24.64,NULL,NULL
OG60_1	NULL,pn.gene.s130.12,NULL,nb.gene.s27.114,NULL,NULL
OG61_1	mz.gene.s115.51,pn.gene.s228.14,ab.gene.s503.6,nb.gene.s139.17,on.gene.LG7.102,ENSGACG00000008494
OG62_1	mz.gene.s2.101,pn.gene.s50.67,NULL,nb.gene.s0.182,on.gene.LG1.479,ENSGACG00000016315
OG63_1	NULL,NULL,NULL,NULL,on.gene.LG6.395,ENSGACG00000017860
OG64_1	mz.gene.s79.30,NULL,ab.gene.s59.19,NULL,on.gene.UNK131.6,ENSGACG00000006366
OG65_1	mz.gene.s216.14,pn.gene.s242.13,ab.gene.s218.10,nb.gene.s62.13,on.gene.UNK250.2,ENSGACG00000000421
OG66_1	mz.gene.s27.60,pn.gene.s36.65,ab.gene.s49.73,nb.gene.s35.4,on.gene.LG9.396,ENSGACG00000004982
OG67_1	mz.gene.s66.22,pn.gene.s89.20,ab.gene.s106.32,nb.gene.s21.94,on.gene.LG11.796,ENSGACG00000001720
